INPUT — CORTES (Ventas),,,,,,,,,,,,,,,,
Cargá acá las ventas diarias. No edites DB/CALC.,,,,,,,,,,,,,,,,
Regla: Venta neta negocio = Total cobrado - Propina (propina no cuenta como ingreso del negocio).,,,,,,,,,,,,,,,,
CARGA CORTES DIARIOS,,,,,,,,,,,,,,,,
Fecha,Cliente,Staff,Servicio,Moneda,Total cobrado,Propina,Medio de pago,Notas,Venta neta negocio,TC aplicado,Total MXN,Propina MXN,Neto MXN,Mes,Semana,Quincena
15-ene-2026,jen gonca,KAREN RECEPCION,Lifting,MXN," $500,00",,Tarjeta,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
15-ene-2026,jen gonca,KAREN RECEPCION,Laminado,MXN," $500,00",,Tarjeta,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
15-ene-2026,mariel ,FLOR,Manos Gel,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
15-ene-2026,ana,MARU,Kapping Gel,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
15-ene-2026,jen gonca,MARU,Kapping Gel,MXN," $650,00",,Tarjeta,," $650,00",1," $650,00"," $0,00"," $650,00",2026-01,3,2026-01-Q1
09-ene-2026,kate,FLOR,Manos Gel,MXN," $716,00"," $86,00",Tarjeta,," $630,00",1," $716,00"," $86,00"," $630,00",2026-01,2,2026-01-Q1
09-ene-2026,kate,KAREN RECEPCION,Laminado,MXN," $611,00"," $86,00",Tarjeta,," $525,00",1," $611,00"," $86,00"," $525,00",2026-01,2,2026-01-Q1
09-ene-2026,susan,FANNY,Manos Gel,MXN," $604,00"," $79,00",Tarjeta,," $525,00",1," $604,00"," $79,00"," $525,00",2026-01,2,2026-01-Q1
09-ene-2026,susan,FANNY,Pies Gel ,MXN," $604,00"," $79,00",Tarjeta,," $525,00",1," $604,00"," $79,00"," $525,00",2026-01,2,2026-01-Q1
09-ene-2026,jessi,FLOR,Manos Gel,MXN," $550,00",,Efectivo,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,2,2026-01-Q1
09-ene-2026,jessi,FLOR,Pies Gel ,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,2,2026-01-Q1
